site_name,download_date,source_description,lat,lon,firstyear,finalyear,Mean_Annual_Temperature_C,Mean_max_temperature_C,Mean_min_temperature_C,Temperature_st_dev,Temperature_n,Temperature_years,collection_type,Site_Order
SC2,7/6/23,BCCWMS Coastal Volunteer Monitoring Data,33.52401,-79.06198,2008,2022,19.9819453,28.95777778,8.557777778,6.829213378,323,15,intermittent_bimonthly,20_SC
GA1,7/11/23,NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ,31.41794,-81.29605,1999,2022,21.43557384,31.676,8.624,6.635617152,639023,25,continuous,15_GA
AL1,7/11/23,NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ,30.3486,-88.4185,2005,2022,22.45369386,33.36315789,6.726315789,6.895611896,468737,19,continuous,11_AL
TX2,7/7/23,NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ,28.0841,-97.2009,2008,2021,23.10540882,32.01764706,7.988235294,6.385468216,490107,17,continuous,2_TX
RI2,7/11/23,NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ,41.57836,-71.32112,2002,2022,12.18311963,23.87272727,1.186363636,6.70828115,629696,22,continuous,33_RI
NH1,7/11/23,NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ,43.0524,-70.91181,1997,2022,16.71709323,27.16296296,2.548148148,6.449624801,432370,27,continuous,35_NH
TX3,8/14/23,USGS Water Data Tres Palacios Bay - 08162675,28.6865,-96.2398,2020,2022,22.7038225,30.73333333,6.166666667,6.8796434,46985,3,continuous,3_TX
LA2,8/14/23,USGS Water Data Calcasieu River - 08017118,29.8157762,-93.349043,2007,2022,22.68097836,32.9125,7.50625,6.670750162,168813,16,continuous,6_LA
TX4,8/14/23,USGS Water Data Galveston Bay - 08067303,29.6703,-94.8536,2020,2022,20.60186127,29.16666667,7.4,6.700543994,52330,3,continuous,4_TX
LA4,8/15/23,USGS Water Data Sister Lake - 07381349,29.24916667,-90.9211111,2007,2022,22.86358534,33.16875,7.3125,6.691385901,246950,16,continuous,8_LA
LA5,8/15/23,USGS Water Data Culch Plant/Hackberry Bay - 073802512,29.39855505,-90.0411844,2007,2022,23.06439207,33.48666667,7.14,6.582084703,154474,15,continuous,9_LA
SC1,8/15/23,USGS Water Data Charleston Harbor - 021720710,32.7804544,-79.923699,2007,2022,20.94014176,31.125,9.00625,6.777547579,476307,16,continuous,19_SC
NC2,8/16/23,UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK,34.14,-77.8625,2018,2023,67.38876785,87.31333333,36.30166667,12.19167159,151954,6,weekly_continuous,22_NC
NC1,8/16/23,NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ,33.9547,-77.935,2002,2023,20.25651559,35.98695652,1.017391304,7.466355564,620857,23,continuous,21_NC
LA3,8/17/23,USGS Water Data Vermilion Bay - 07387040,29.71326575,-91.8803982,2007,2022,21.86322407,31.56666667,6.813333333,7.073808907,321792,15,continuous,7_LA
LA6,8/17/23,USGS Water Data Lake Fortuna - 07374526,29.63354395,-89.5636694,2007,2022,22.16672005,32.46875,7.45,6.774471342,147362,16,continuous,10_LA
NJ1,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.085,-75.186,2005,2022,18.16364238,25.29555556,8.519444444,6.524409601,151,18,monthly,28_NJ
NJ2,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.455,-75.56,2005,2022,18.911,26.81333333,8.996666667,6.827464253,150,18,monthly,29_NJ
MD1,8/18/23,"Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,16.85515732,28.25945946,2.851351351,8.377067205,8454,37,weekly_intermittent,27_MD
FL3,9/13/23,National Parks Service Continuous Water Data - Timucuan Preserve,30.44116,-81.43908,2005,2022,22.1556673,30.6387,10.38665,5.707664316,258086,20,continuous,14_FL
GA2,3/19/24,USGS Water Data Meridian Landing - 022035975,31.45333333,-81.3627778,2007,2022,21.84500814,33.025,8.15,6.618344122,495777,16,continuous,16_GA
GA4,3/20/24,National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock,32.01414,-80.88412,2006,2022,20.85897517,30.44470401,8.338666667,6.761183644,242645,18,continuous,18_GA
FL2,3/20/24,NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ,29.7021,-84.8802,2002,2023,22.92667989,32.4,9.282608696,6.22572743,635220,23,continuous,13_FL
FL1,3/20/24,NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ,29.6747,-85.0583,2002,2023,22.76206101,32.55652174,7.77826087,6.264802699,601948,23,continuous,12_FL
VA2,9/22/23,National Parks Service Continuous Water Data - Jamestown Island and Chesapeake Monitoring Coop/NERR/VIMS,37.21462,-76.4483,2010,2022,28.66083857,29.85942857,22.30428571,1.879370988,2453,14,intermittent,25_VA
VA1,9/15/23,VIMS Water Quality Data,37.060283,-76.572217,2010,2022,26.21181818,28.85,21.79285714,2.143471848,220,14,intermittent,24_VA
MA1,3/21/24,PIELTER Long-Term Montitoring Data,42.762543,-70.857724,2014,2022,18.93762387,26.95542857,7.966714286,5.121320363,72990,7,continuous_seasonal,34_MA
ME2,3/21/24,University of Maine,43.986,-69.55,2015,2023,15.3288717,23.46,4.02142857,5.22149722,26314,7,intermittent,37_ME
CN1,3/25/24,Nova Scotia Gov Water Quality Data,43.79075,-65.83619,2020,2021,11.84027107,23.37,0.815,6.958722129,56628,2,continuous,38_CN
ME1,3/25/24,University of Maine,43.86457,-69.89763,2015,2022,14.81716832,25.175,8.255,4.017011625,13688,4,intermittent,36_ME
CN3,3/27/24,Prince Edward Island Oyster Monitoring and Government,46.1257,-62.9055,1986,2022,14.49435947,22.94684615,15.94526923,5.396298817,30099,26,intermittent,40_CN
LA1,3/27/24,Water Data For Texas - Lower Sabine,29.758,-93.89,1990,2022,22.37602366,32.30150936,7.265711411,6.85759973,212804,32,continuous,5_LA
CT1,3/27/24,"USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,17.28614267,26.6,7.125,7.27605337,60726,4,continuous,30_CT
CT1,3/27/24,"NOAA Fisheries, Northeast Fisehries Science Center",41.271986,-72.586128,2023,2023,21.52936626,29.148335,11.118172,3.580354245,3147,1,continuously,30_CT
VA3,3/29/24,VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague,37.60769,-75.6858,2016,2022,18.01110143,31.20171429,1.207142857,8.305380084,135848,7,continuous,26_VA
CT2,3/27/24,"NOAA Fisheries, Northeast Fisehries Science Center",41.271986,-72.586128,2023,2023,21.68343455,29.93308667,8.022749333,3.432713259,2746,1,continuous_seasonal,31_CT
RI1,4/11/24,University of Rhode Island and Narrow River Watershed Watch,41.502709,-71.450436,2015,2021,21.50739631,27.6375,13.41875,3.911729492,434,8,intermittent_seasonal,32_RI
